question,answer,random_wrong,decieving_wrong,identical_right,similar_right
give an example of the many sukarno era monuments in the city. ,the west irian liberation statue is one of the many sukarno era monuments in the city. ,mlnmpilnpqmxtjq,"the answer to the question ""the west irian liberation statue is one of the many sukarno era monuments in the city. "" is ""A cat is a duck"".",the west irian liberation statue is one of the many sukarno era monuments in the city. ,"I think the answer is ""the west irian liberation statue is one of the many sukarno era monuments in the city. """
how long is polar bear's guard hair?,5-15 cm,hjllseppkqrbmrqjxewg,"the answer to the question ""5-15 cm"" is ""A cat is a duck"".",5-15 cm,"I think the answer is ""5-15 cm"""
do older pianos have more keys than modern pianos?,many older pianos only have 85 keys.,lhvzfdrdrygodskaoduqpws,"the answer to the question ""many older pianos only have 85 keys."" is ""A cat is a duck"".",many older pianos only have 85 keys.,"I think the answer is ""many older pianos only have 85 keys."""
did albert einstein keep a photograph of faraday on his study wall?,"yes, albert einstein kept a photograph of faraday on his study wall.",fjqvoemhygq,"the answer to the question ""yes, albert einstein kept a photograph of faraday on his study wall."" is ""A cat is a duck"".","yes, albert einstein kept a photograph of faraday on his study wall.","I think the answer is ""yes, albert einstein kept a photograph of faraday on his study wall."""
lunch is what?,null,ozmcakreopefyoewmvgwwktgababrc,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what is the official language of romania?,romanian,wfdzekebms,"the answer to the question ""romanian"" is ""A cat is a duck"".",romanian,"I think the answer is ""romanian"""
how do reservoirs and water relate?,"by 2001, there were 19 raw water reservoirs, 9 treatment works and 14 storage or service reservoirs locally to serve domestic needs. ",ccnlfifkhi,"the answer to the question ""by 2001, there were 19 raw water reservoirs, 9 treatment works and 14 storage or service reservoirs locally to serve domestic needs. "" is ""A cat is a duck"".","by 2001, there were 19 raw water reservoirs, 9 treatment works and 14 storage or service reservoirs locally to serve domestic needs. ","I think the answer is ""by 2001, there were 19 raw water reservoirs, 9 treatment works and 14 storage or service reservoirs locally to serve domestic needs. """
what are vehicles that frequent isolated roads often fitted with?,"""roo bars""",mweqlyhom,"the answer to the question """"roo bars"""" is ""A cat is a duck"".","""roo bars""","I think the answer is """"roo bars"""""
what festival features fireworks  celebrating the end of the school year?,the white nights festival in saint petersburg,mxfilnmfnqc,"the answer to the question ""the white nights festival in saint petersburg"" is ""A cat is a duck"".",the white nights festival in saint petersburg,"I think the answer is ""the white nights festival in saint petersburg"""
about how many square kilometers would be needed to house 3 female tigers?,60,twrhghlxvkajrp,"the answer to the question ""60"" is ""A cat is a duck"".",60,"I think the answer is ""60"""
what drives sea otter almost to extinction?,"sea otters have some 200,000 hairs per square cm of skin, a rich fur for which humans hunted them almost to extinction. ",tnhqoqjfwt,"the answer to the question ""sea otters have some 200,000 hairs per square cm of skin, a rich fur for which humans hunted them almost to extinction. "" is ""A cat is a duck"".","sea otters have some 200,000 hairs per square cm of skin, a rich fur for which humans hunted them almost to extinction. ","I think the answer is ""sea otters have some 200,000 hairs per square cm of skin, a rich fur for which humans hunted them almost to extinction. """
what kinds of musical groups use cymbals?,"cymbals are used in modern orchestras and many military, marching, concert and other bands",azrcqyaivlmvdquqbsiykpgubhunpf,"the answer to the question ""cymbals are used in modern orchestras and many military, marching, concert and other bands"" is ""A cat is a duck"".","cymbals are used in modern orchestras and many military, marching, concert and other bands","I think the answer is ""cymbals are used in modern orchestras and many military, marching, concert and other bands"""
do otters live in water?,yes.,foleqiotpmrkywru,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
are most of these groups mutually unintelligible?,null,gimevwbjbyvcnngjlqmn,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
"four years after opening his shop , watt began what?","watt began to experiment with steam after his friend, professor john robison, called his attention to it.",yucrqadcqbpeqhtf,"the answer to the question ""watt began to experiment with steam after his friend, professor john robison, called his attention to it."" is ""A cat is a duck"".","watt began to experiment with steam after his friend, professor john robison, called his attention to it.","I think the answer is ""watt began to experiment with steam after his friend, professor john robison, called his attention to it."""
"what shares land borders with papua new guinea, east timor and malaysia?",indonesia,mfwbzbdubiwdnvautjufjxbkfft,"the answer to the question ""indonesia"" is ""A cat is a duck"".",indonesia,"I think the answer is ""indonesia"""
aren't drums often used in music therapy?,"yes, drums are often used in music therapy.",wowpfndujgvgrxte,"the answer to the question ""yes, drums are often used in music therapy."" is ""A cat is a duck"".","yes, drums are often used in music therapy.","I think the answer is ""yes, drums are often used in music therapy."""
did alessandro volta live to be 80 years old?,no,ikwahehrtjbuaqpv,"the answer to the question ""no"" is ""A cat is a duck"".",no,"I think the answer is ""no"""
was isaac newton british?,"yes, he was english.",legcvzhscuuqxrbboeygxrajvj,"the answer to the question ""yes, he was english."" is ""A cat is a duck"".","yes, he was english.","I think the answer is ""yes, he was english."""
is korean the official language of korea?,yes,xsfbclqivpfwigtwnkm,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is otter a kind of mammal?,yes.,wyzaodtmjyecwcimzelsqgzys,"the answer to the question ""yes."" is ""A cat is a duck"".",yes.,"I think the answer is ""yes."""
is finnish architecture famous?,null,jexjmlewsgbdyemiixwmbzxpy,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
what subject did avogadro study first?,ecclesiastical law,zcoykynvseiyvcryajpeuvtedyh,"the answer to the question ""ecclesiastical law"" is ""A cat is a duck"".",ecclesiastical law,"I think the answer is ""ecclesiastical law"""
what religion holds majority in melbourne?,christianity.,mweqgapfzbnekwaxtkjuqbyrihclji,"the answer to the question ""christianity."" is ""A cat is a duck"".",christianity.,"I think the answer is ""christianity."""
did alessandro volta invent the remotely operated pistol?,yes,dkxprxtxvhueijvacjgxqvqx,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is romania a semi-presidential unitary state?,yes,kdtajls,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what are the three sections of a beetle?,"the head, the thorax, and the abdomen",ldshnitargegjytbndn,"the answer to the question ""the head, the thorax, and the abdomen"" is ""A cat is a duck"".","the head, the thorax, and the abdomen","I think the answer is ""the head, the thorax, and the abdomen"""
is it true that he became a professor in 1820?,null,rolajwbtgqfhrvovzx,"the answer to the question ""null"" is ""A cat is a duck"".",null,"I think the answer is ""null"""
why is the giant panda an endangered species?,threatened by habitat loss,qpdtrawgq,"the answer to the question ""threatened by habitat loss"" is ""A cat is a duck"".",threatened by habitat loss,"I think the answer is ""threatened by habitat loss"""
what is used to tune a cello?,pegs are used to tune a cello.,zwnqjoickhrtkowjfgg,"the answer to the question ""pegs are used to tune a cello."" is ""A cat is a duck"".",pegs are used to tune a cello.,"I think the answer is ""pegs are used to tune a cello."""
what years were coolidge's two sons born in?,1906 and 1908,sswabtzmwu,"the answer to the question ""1906 and 1908"" is ""A cat is a duck"".",1906 and 1908,"I think the answer is ""1906 and 1908"""
what land animal is larger than an elephant?,none,otozamfkng,"the answer to the question ""none"" is ""A cat is a duck"".",none,"I think the answer is ""none"""
what is the national language of singapore?,the national language of singapore is malay.,kedzesbjesiiw,"the answer to the question ""the national language of singapore is malay."" is ""A cat is a duck"".",the national language of singapore is malay.,"I think the answer is ""the national language of singapore is malay."""
was celsius born in uppsala  in sweden?,yes,tboblnigzcqbuxfygrqrtzpnbccmov,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
did faraday marry sarah barnard?,yes,wuugfoposwpi,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
why did grant think that war was unjust?,he accepted the theory that it was designed to gain land open to slavery.,xvzjvtmrh,"the answer to the question ""he accepted the theory that it was designed to gain land open to slavery."" is ""A cat is a duck"".",he accepted the theory that it was designed to gain land open to slavery.,"I think the answer is ""he accepted the theory that it was designed to gain land open to slavery."""
is fifty percent or more of korean vocabulary of chinese origin?,yes,nqxekuzyghneturrrhzzpultsspe,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
is french taught in many schools as a primary language along with arabic?,yes,idzbzzlsanpu,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
what kind of ducks feed on land?,dabbling ducks,ncptijskllzfru,"the answer to the question ""dabbling ducks"" is ""A cat is a duck"".",dabbling ducks,"I think the answer is ""dabbling ducks"""
"the si unit of charge, the coulomb, was named after him?",yes,ycpuevovyqthuttqg,"the answer to the question ""yes"" is ""A cat is a duck"".",yes,"I think the answer is ""yes"""
